name,comment
"@linhngt29
3 tháng trước",em không phải người quá quan tâm về triết học nhưng thực sự cách trình bày và thể hiện những góc nhìn khác nhau trong mỗi video của anh siêu ấn tượng nó giúp bản thân em có thêm nhiều cái nhìn hơn trong những sự việc xảy ra xung quanh mình chúc anh thật nhiều sức khoẻ để tiếp tục ra những nội dung ý nghĩa ạ
"@mixukings
3 tháng trước",hóng tập cuối quá tại liên quan đến quyền của bản thân mình và mọi người trong cộng đồng nữa
"@thaonguyen-dm4hc
3 tháng trước",yeeee có video rùiiiii rất thích series này anh lên nhiều nhiều nhé ạ
"@Tuh26
3 tháng trước",ước gì được gặp a ngoài đời
"@harrydawitch
3 tháng trước",anh duy cứ tập trung vào chất lượng thay vì bị áp lực sản xuất video liên tục
"@johancruyff5536
3 tháng trước",rất mê video triết từ anh mong anh làm nhiều hơn nếu được thì phân phối nên là 80 video là triết 20 video là kinh tế nhoa anh
"@AnDao-u2f
3 tháng trước",series này hay ghê anh ạ hy vọng rằng anh có thể ra một vid về quá trình anh làm từng vid em tò mò về cách anh tóm lược và suy ngẫm vấn đề ạ
"@nthnuwf
3 tháng trước",chưa xem nhưng mà thấy anh làm video về triết học là thấy cuốn rồi
"@chickys2voldemort
3 tháng trước",he đợi mãi mới đến đêm để nghe phil 101 xin cảm ơn anh vì đã làm nội dung này
"@citgametv113
2 tháng trước",em hóng phần cuối quá anh ơi
"@funwithme4329
3 tháng trước",mong anh làm về mảng triết học và khoa học về thực tại nguồn gốc hay bắt nguồn của mọi thứ ạ
"@JOKER_Love_Death
3 tháng trước",lần sau anh ko nên lấy ví dụ về con người ở hoa kì nữa anh nên lấy ví dụ ở những nơi gần gũi như việt nam nga triều tiên cuba chẳng hạn
"@ChunLampbo
3 tháng trước (đã chỉnh sửa)",đây rồi nhớ clip của anh quá đến vì những clip kinh tế ở lại với clip triết học nội dung kiểu này hay lắm mong anh giữ đam mê
"@MuaDong-h2e
3 tháng trước",1 kênh rất hay keep it up
"@thinhnguyenang2238
3 tháng trước",video đã giúp e giải đáp được khá nhiều khúc mắc dạo gần đây e thường suy nghĩ cảm ơn a thành d
