name,comment
"@KhoiVuOfficial
1 tháng trước",và anh tin là sớm muộn thì chúng ta lại về bên nhau
"@JaysonLei
1 tháng trước",sau cơn mưa trời sẽ sáng sớm muộn thì thuyền sẽ về bờ an toàn shout out khoivu và nhâm phương nam
"@lamoon.ladyofthemoon
1 tháng trước",600 000 view rồi cảm ơn rất nhiều tất cả các khán giả của đại gia đình say hi quá tuyệt vời ạ mong rằng thuyền sẽ sớm cập bến ở quận 1 thôi
"@LYTRAN-q5u
2 giờ trước",lamoon cưng xỉu
"@nhamphuongnamofficial
1 tháng trước",sớm muộn thì 100k lộn xộn đã ra khơi thành công mời mọi người cùng tận hưởng đại hải trình này với chúng tớ nhé
"@KhoiVuOfficial
1 tháng trước",em cảm ơn mọi người đã yêu thích sớm muộn thì ạa
"@kimdungpham3989
1 tháng trước",tiết mục hay nhất livestage này đối với mình chỉ muốn gửi một cmt khen ngợi để ủng hộ tất cả các bạn trong team phần tâm sự trên sân khấu khiến tui khóc vì thương luôn á
"@borik.2002
3 tuần trước",tôi đang nghe best hit anh trai say hi 2025 với 1 tỷ 8 lượt nghe trên mọi nền tảng
"@KhoiVuOfficial
1 tháng trước",cảm ơn mọi người vì đã mang sớm muộn thì về lại quận 1 yêu mọi người rất nhiều ạ
"@Thuyandoan-t8p
1 tháng trước",mong khoi vu nổi hơn nữa thật sự không đùa được với cái tài năng này quá giỏi
"@lamoon.ladyofthemoon
1 tháng trước",nghe bảo lại lên quận 1 ah thích thế ơ mai ghé qua mun và chị juky xem người đầu tiên nhoa
"@AnhMinh-hm5yy
1 ngày trước",bé sớm sớm lên số 10 nhaaaaaaa nhạc hay qus chừng
"@nngthanh2103
1 tháng trước",đoạn đầu của khoi vu nghe lần nào nổi da gà lần đó hay quá huhu
"@lanvy1585
1 tháng trước",thực sự replay lại không biết bao nhiêu lần bài đầu tiên trong mùa 2 mà vừa wow vừa nổi da gà ngay từ giây đầu
"@ngavuong1272
1 tháng trước",chả hiểu sao hôm qua nghe bài này lại khóc team hustlang robber khôi vũ nhâm phương nam jaysonley mason nguyễn và lamoon tuyệt vờii
"@huyngo6772
11 giờ trước",lên nào cả nhà ơiii
"@gloria.126
1 tháng trước",bài này ra mắt đúng lúc miền trung chịu nhiều cơn bão lũ lụt là 1 người con miền trung mình thật sự đã xúc động khi nghe bài hát này respect tất cả các thành viên cùa team 100k nhạc lộn xộn ver nào cũng rất xuất sắc ấn tượng ngay từ intro của khoi vu
"@KhánhNgânNgô-m7o
1 tháng trước",đoạn jaysonlei với khôi vũ hay ghê á
"@benejeric3342
1 tháng trước",khoi vu giỏi khoi vu hát hay một phần trình diễn mãn nhãn phần nhìn và cả phần nghe
"@lollipopbang1990
3 tuần trước",lên 6tr nào mỗi 1 like là 1 lần mình vô nghe lại
"@cungphu_gt3602
1 tháng trước (đã chỉnh sửa)",từ một team bị underrated nhất trong ls3 lại là team bức phá nhất từng thành viên đều có điểm sáng trong bài thông điệp ý nghĩa lyric sâu sắc từ vocal concept melody deli hay flow đều ấn tượng cực kì respect robber ở điểm này nhất là khôi vũ và anh năm nền làm mình bất ngờ nhất quá peakkkkkkk
"@ngocphan8145
1 tháng trước",khoi vu về sớm quá hơi tiếc nhưng mà anh bé quá giỏi luôn rồi tự hào bé timeo
"@Tho2k9
1 tháng trước",đoạn cụa lamoon như kiểu giông bão có lớn đến đâu cx sẽ dịu dàng lại hết v á tròiiii
"@TrâmThùy-n1f
2 ngày trước",lên tiếp thôi 10m trong 2 tháng mn ơi
"@lilpanda281
1 tháng trước (đã chỉnh sửa)",bố cục chia line cho từng thành viên mượt cực kỳ robber dẫn chuyện xong khôi vũ cất giọng lên đã thấy hay điên sao lại hay như thế xong đến a năm rap lại phải wow tiếp vì chất giọng hợp rap cực kỳ flow của mason cũng cực cuốn vibe verse của lamoon hợp với team này cực kỳ rùi đến verse của e thịnh cất giọng lên nó cũng hay mà sâu lắng đến khó tả nói chung bài này vừa hay vừa ý nghĩa cảm giác như đang xem 1 bộ phim ngắn nói về tình yêu nam nữ nơi biển cả thực sự ý cảm ơn team 100k lộn xộn đã mang đến 1 bài hát ý nghĩa ntn tới ng nghe 3
"@MiMi-mn1um
1 tháng trước",giọng khôi vũ cất lên mà bất ngờ quá trời cư dân berlin mãi tự hào về anh nha 3 quận 1 đâu mở cửa ngay
"@myphan4068
1 tháng trước",mình đang ở xa nhà mà nghe bài này cảm động lắm luôn thật sự được up mood để cố gắng nhiều hơn nữa ấy cảm ơn jaysonlei cảm ơn team 100k lộn xộn đã tạo nên 1 bài siêu tuyệt vời
"@HueNguyen-ij3om
1 ngày trước",sắp 10 trịu luôn rồiiin
"@Bốngiu-b5m
1 tháng trước",mình tiếc khôi vũ quá vào khoảnh khắc bùng nổ nhất thì lại không thể đồng hành tiếp với chương trình hy vọng mọi người sẽ yêu thương khôi vũ thật nhiều
"@hanbao1966
1 tháng trước",thật sự ver của khoi vu hay đến nỗi khi bị loại nhiều nonfan phải bất ngờ đó
"@MinhhChangg-23
1 tháng trước",đối với tui bài này ấn tượng nhất từ đầu chương trình lunn siêu hợp guu dù không còn bước tiếp nhưng khoi vu và nhâm phương nam hãy luôn cố gắng nhée tự hào về cái team nàyyyyyyyy
"@vietductino
3 tuần trước",the best hit của chương trình quá xứng đáng luôn tới giờ vẫn thấy bài này hay nhất anh trai năm nay
"@thanhlam9090
1 tháng trước",con mã sớm muộn thì xứng đáng có được thành công như giá trị nghệ thuật đỉnh cao của nó mn cố đưa bé sớm lên quận 1 nhaaa
"@nguyenminhngocHMU
1 tháng trước",nửa đêm cắm tai nghe và giọng hát của khôi vũ khiến tôi tưởng là mình đang nằm mơ và rơi vào vườn địa đàng luôn hu hu
"@EmbecuaBongiu
1 tháng trước",thương khôi vũ và nhâm phương nam lắm íiii bài này theo tui thì hay nhất nhất nhất ls3 thật sự là nghe vừa truyền động lực vừa vui vô cùng luônnn ai cũng có spotlight của mình 6 người 6 màu mà kết hợp lại đẳng cấp vaiiii nghe lần đầu dính luôn ròiii
"@nghiahiep456
21 giờ trước",lên tiếp 9 6m nào mn go go
"@NhaPilPo
1 tháng trước",thực sự ver của khoi vu rất hay anh thật sự rất giỏi và cần được nhiều người biết đến hơn vẫn sẽ luôn theo dõi hành trình của anh và mong rằng bài hát sớm muộn thì sẽ được nhiều người yêu thích
"@TheErasTour2
1 tháng trước",0 15 giọng khoi vu ngọt quá trời
"@ninniniel
1 tháng trước",lamoon ko làm chúng ta thất vọng shout out to gv ngữ văn lamoon
"@TrâmThùy-n1f
3 ngày trước",còn 6 ngày nữa là 2 tháng r mn cố gắng lên 10m nha
