name,comment
"@KhoiVuOfficial
1 tháng trước","Và anh tin là sớm muộn thì, chúng ta lại về bên nhau"
"@JaysonLei
1 tháng trước","Sau cơn mưa trời sẽ sáng, sớm muộn thì thuyền sẽ về bờ an toàn. Shout out KhoiVu và Nhâm Phương Nam!!!"
"@lamoon.ladyofthemoon
1 tháng trước","600,000 view rồi! Cảm ơn rất nhiều tất cả các khán giả của đại gia đình Say Hi quá tuyệt vời ạ. Mong rằng thuyền sẽ sớm cập bến ở Quận 1 thôi … ^^"
"@LYTRAN-q5u
2 giờ trước",lamoon cưng xỉu
"@nhamphuongnamofficial
1 tháng trước","Sớm muộn thì 100k lộn xộn đã ra khơi thành công, mời mọi người cùng tận hưởng đại hải trình này với chúng tớ nhé"
"@KhoiVuOfficial
1 tháng trước",Em cảm ơn mọi người đã yêu thích Sớm Muộn Thì ạa
"@kimdungpham3989
1 tháng trước","Tiết mục hay nhất livestage này đối với mình, chỉ muốn gửi một cmt khen ngợi để ủng hộ tất cả các bạn trong team. Phần tâm sự trên sân khấu khiến tui khóc vì thương luôn á"
"@borik.2002
3 tuần trước","tôi đang nghe ""BEST HIT ANH TRAI SAY HI 2025"" với 1 TỶ 8 LƯỢT NGHE trên mọi nền tảng"
"@KhoiVuOfficial
1 tháng trước",Cảm ơn mọi người vì đã mang Sớm Muộn Thì về lại Quận 1! Yêu mọi người rất nhiều ạ!
"@Thuyandoan-t8p
1 tháng trước","Mong KHOI VU nổi hơn nữa, thật sự không đùa được với cái tài năng này, quá giỏi"
"@lamoon.ladyofthemoon
1 tháng trước",Nghe bảo lại lên quận 1 ah? Thích thế ơ … mai ghé qua Mun và chị Juky xem NGƯỜI ĐẦU TIÊN nhoa.
"@AnhMinh-hm5yy
1 ngày trước",Bé Sớm sớm lên số 10 nhaaaaaaa nhạc hay qus chừng
"@nngthanh2103
1 tháng trước","Đoạn đầu của Khoi Vu nghe lần nào nổi da gà lần đó, hay quá huhu"
"@lanvy1585
1 tháng trước","thực sự replay lại không biết bao nhiêu lần, bài đầu tiên trong mùa 2 mà vừa wow vừa nổi da gà ngay từ giây đầu!!!"
"@ngavuong1272
1 tháng trước","Chả hiểu sao hôm qua nghe bài này lại khóc. Team Hustlang Robber, Khôi Vũ, Nhâm Phương Nam, Jaysonley, Mason Nguyễn và Lamoon tuyệt vờii"
"@huyngo6772
11 giờ trước",Lên nào cả nhà ơiii
"@gloria.126
1 tháng trước","Bài này ra mắt đúng lúc miền Trung chịu nhiều cơn bão, lũ lụt, là 1 người con miền Trung mình thật sự đã xúc động khi nghe bài hát này. Respect tất cả các thành viên cùa team 100k nhạc lộn xộn, ver nào cũng rất xuất sắc, ấn tượng ngay từ intro của KHOI VU"
"@KhánhNgânNgô-m7o
1 tháng trước",Đoạn Jaysonlei với Khôi Vũ hay ghê á
"@benejeric3342
1 tháng trước","Khoi Vu giỏi, Khoi Vu hát hay, một phần trình diễn mãn nhãn phần nhìn và cả phần nghe"
"@lollipopbang1990
3 tuần trước","Lên 6tr nào, mỗi 1 like là 1 lần mình vô nghe lại"
"@cungphu_gt3602
1 tháng trước (đã chỉnh sửa)","Từ một team bị underrated nhất trong ls3 lại là team bức phá nhất:)). Từng thành viên đều có điểm sáng trong bài, thông điệp ý nghĩa, lyric sâu sắc, từ vocal, concept, melody, deli hay flow đều ấn tượng, cực kì respect Robber ở điểm này. Nhất là Khôi Vũ và anh Năm nền làm mình bất ngờ nhất, quá PEAKKKKKKK"
"@ngocphan8145
1 tháng trước","Khoi Vu về sớm quá! Hơi tiếc nhưng mà anh bé quá giỏi luôn rồi, tự hào bé Timeo"
"@Tho2k9
1 tháng trước",đoạn cụa Lamoon như kiểu giông bão có lớn đến đâu cx sẽ dịu dàng lại hết v á tròiiii
"@TrâmThùy-n1f
2 ngày trước",Lên tiếp thôi 10m trong 2 tháng mn ơi
"@lilpanda281
1 tháng trước (đã chỉnh sửa)","bố cục chia line cho từng thành viên mượt cực kỳ, Robber dẫn chuyện xong Khôi Vũ cất giọng lên đã thấy hay điên, sao lại hay như thế, xong đến a Năm rap lại phải wow tiếp vì chất giọng hợp rap cực kỳ, flow của Mason cũng cực cuốn, vibe verse của Lamoon hợp với team này cực kỳ, rùi đến verse của e Thịnh cất giọng lên nó cũng hay mà sâu lắng đến khó tả nói chung bài này vừa hay vừa ý nghĩa, cảm giác như đang xem 1 bộ phim ngắn nói về tình yêu nam nữ nơi biển cả thực sự ý cảm ơn team 100k lộn xộn đã mang đến 1 bài hát ý nghĩa ntn tới ng nghe :3"
"@MiMi-mn1um
1 tháng trước","Giọng Khôi Vũ cất lên mà bất ngờ quá trời, Cư dân Berlin mãi tự hào về anh nha <3 Quận 1 đâu mở cửa ngay !!!"
"@myphan4068
1 tháng trước","Mình đang ở xa nhà mà nghe bài này cảm động lắm luôn. Thật sự được up mood để cố gắng nhiều hơn nữa ấy. Cảm ơn Jaysonlei, cảm ơn team 100k lộn xộn đã tạo nên 1 bài siêu tuyệt vời 🥹🥹"
"@HueNguyen-ij3om
1 ngày trước",sắp 10 trịu luôn rồiiin
"@Bốngiu-b5m
1 tháng trước","Mình tiếc Khôi Vũ quá, vào khoảnh khắc bùng nổ nhất thì lại không thể đồng hành tiếp với chương trình. Hy vọng mọi người sẽ yêu thương Khôi Vũ thật nhiều"
"@hanbao1966
1 tháng trước",thật sự ver của Khoi Vu hay đến nỗi khi bị loại nhiều nonfan phải bất ngờ đó
"@MinhhChangg-23
1 tháng trước","đối với tui bài này ấn tượng nhất từ đầu chương trình lunn , siêu hợp guu , dù không còn bước tiếp nhưng Khoi Vu và Nhâm Phương Nam hãy luôn cố gắng nhée , tự hào về cái team nàyyyyyyyy"
"@vietductino
3 tuần trước","THE BEST HIT của chương trình !!! Quá xứng đáng luôn, tới giờ vẫn thấy bài này hay nhất anh trai năm nay"
"@thanhlam9090
1 tháng trước","con mã sớm muộn thì xứng đáng có được thành công như giá trị nghệ thuật đỉnh cao của nó, mn cố đưa bé sớm lên quận 1 nhaaa"
"@nguyenminhngocHMU
1 tháng trước",Nửa đêm cắm tai nghe và giọng hát của Khôi Vũ khiến tôi tưởng là mình đang nằm mơ và rơi vào vườn địa đàng luôn hu hu
"@EmbecuaBongiu
1 tháng trước","Thương Khôi Vũ và Nhâm Phương Nam lắm íiii. Bài này theo tui thì hay nhất nhất nhất LS3. Thật sự là nghe vừa truyền động lực vừa vui vô cùng luônnn. Ai cũng có spotlight của mình, 6 người 6 màu mà kết hợp lại đẳng cấp vaiiii=))))) Nghe lần đầu dính luôn ròiii"
"@nghiahiep456
21 giờ trước","Lên tiếp 9.6M nào mn, go go."
